probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.972336,3842,2128468,0,0,1.410381,2724.087381
0.972336,3852,2134008,0,0,1.411119,2729.74901
0.972336,3862,2139548,0,0,1.411803,2735.509581
0.972336,3872,2145088,0,0,1.413962,2738.404786
0.972336,3882,2150628,0,0,1.414503,2744.427114
0.972336,3892,2156168,0,0,1.41512,2750.296089
0.972336,3902,2161708,0,0,1.415908,2755.829041
0.972336,3912,2167248,0,0,1.416645,2761.454831
0.972336,3922,2172788,0,0,1.417654,2766.542863
0.972336,3932,2178328,0,0,1.418376,2772.185053
0.972336,3942,2183868,0,0,1.419111,2777.794435
0.972336,3952,2189408,0,0,1.419799,2783.49195
0.972336,3962,2194948,0,0,1.420547,2789.066917
0.972336,3972,2200488,0,0,1.421547,2794.13825
0.972336,3982,2206028,0,0,1.422014,2800.25279
0.972336,3992,2211568,0,0,1.424845,2801.708295
0.972336,4002,2217108,0,0,1.529771,2616.077678
0.972336,4012,2222648,0,0,1.52978,2622.598663
0.972336,4022,2228188,0,0,1.530207,2628.403112
0.972336,4032,2233728,0,0,1.532971,2630.187313
0.972336,4042,2239268,0,0,1.533016,2636.631862
0.972336,4052,2244808,0,0,1.533493,2642.334298
0.972336,4062,2250348,0,0,1.533501,2648.840122
0.972336,4072,2255888,0,0,1.53394,2654.602567
0.972336,4082,2261428,0,0,1.534125,2660.800388
0.972336,4092,2266968,0,0,1.534786,2666.168942
0.972336,4102,2272508,0,0,1.535473,2671.490143
0.972336,4112,2278048,0,0,1.536113,2676.885944
0.972336,4122,2283588,0,0,1.537074,2681.719319
0.972336,4132,2289128,0,0,1.537446,2687.574863
0.972336,4142,2294668,0,0,1.540286,2689.110871
0.972336,4152,2300208,0,0,1.54092,2694.494999
0.972336,4162,2305748,0,0,1.541942,2699.19424
0.972336,4172,2311288,0,0,1.542889,2704.018452
0.972336,4182,2316828,0,0,1.543188,2709.973831
0.972336,4192,2322368,0,0,1.550391,2703.833721
0.972336,4202,2327908,0,0,1.550839,2709.500791
0.972336,4212,2333448,0,0,1.550849,2715.932211
0.972336,4222,2338988,0,0,1.551273,2721.635108
0.972336,4232,2344528,0,0,1.555331,2720.963817
0.972336,4242,2350068,0,0,1.55537,2727.325587
0.972336,4252,2355608,0,0,1.555855,2732.902425
0.972336,4262,2361148,0,0,1.555864,2739.313808
0.972336,4272,2366688,0,0,1.556287,2744.99489
0.972336,4279,2370566,0,0,1.646088,2599.497061
0.972336,4289,2376106,0,0,1.646521,2604.886912
0.972336,4299,2381646,0,0,1.64653,2610.945959
0.972336,4309,2387186,0,0,1.647042,2616.205237
0.972336,4319,2392726,0,0,1.647713,2621.208998
0.972336,4329,2398266,0,0,1.648367,2626.235656
0.972336,4339,2403806,0,0,1.649433,2630.600723
0.972336,4349,2409346,0,0,1.651941,2632.660892
0.972336,4359,2414886,0,0,1.652605,2637.653795
0.972336,4369,2420426,0,0,1.653276,2642.632016
0.972336,4379,2425966,0,0,1.65777,2641.499699
0.972336,4389,2431506,0,0,1.658201,2646.843653
0.972336,4399,2437046,0,0,1.66785,2637.526574
0.972336,4409,2442586,0,0,1.667958,2643.352275
0.972336,4419,2448126,0,0,1.668409,2648.630569
0.972336,4429,2453666,0,0,1.668424,2654.601541
0.972336,4439,2459206,0,0,1.669281,2659.229104
0.972336,4449,2464746,0,0,1.669749,2664.473051
0.972336,4459,2470286,0,0,1.674632,2662.674052
0.972336,4469,2475826,0,0,1.67506,2667.964459
0.972336,4479,2481366,0,0,1.675069,2673.920313
0.972336,4489,2486906,0,0,1.675491,2679.21486
0.972336,4499,2492446,0,0,1.67659,2683.422955
0.972336,4509,2497986,0,0,1.677389,2688.105722
0.972336,4519,2503526,0,0,1.6783,2692.605767
0.972336,4529,2509066,0,0,1.679056,2697.349483
0.972336,4539,2514606,0,0,1.760874,2577.697163
0.972336,4549,2520146,0,0,1.760885,2583.360421
0.972336,4559,2525686,0,0,1.760895,2589.025012
0.972336,4569,2531226,0,0,1.761344,2594.041887
0.972336,4579,2536766,0,0,1.761643,2599.278511
0.972336,4589,2542306,0,0,1.762634,2603.489595
0.972336,4599,2547846,0,0,1.765538,2604.872453
0.972336,4609,2553386,0,0,1.766199,2609.558554
0.972336,4619,2558926,0,0,1.766866,2614.233031
0.972336,4629,2564466,0,0,1.767529,2618.910339
