probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.715148,3770,2088580,0,0,1.498157,2516.425541
0.715148,3780,2094120,0,0,1.498385,2522.715401
0.715148,3790,2099660,0,0,1.49946,2527.576223
0.715148,3800,2105200,0,0,1.502765,2528.672649
0.715148,3810,2110740,0,0,1.503505,2534.078717
0.715148,3820,2116280,0,0,1.504243,2539.482684
0.715148,3830,2121820,0,0,1.506499,2542.319032
0.715148,3840,2127360,0,0,1.507566,2547.152609
0.715148,3850,2132900,0,0,1.508218,2552.680888
0.715148,3860,2138440,0,0,1.50896,2558.05281
0.715148,3870,2143980,0,0,1.509704,2563.417023
0.715148,3880,2149520,0,0,1.510492,2568.700134
0.715148,3890,2155060,0,0,1.511506,2573.59284
0.715148,3900,2160600,0,0,1.512192,2579.037564
0.715148,3910,2166140,0,0,1.512929,2584.390596
0.715148,3920,2171680,0,0,1.513668,2589.735967
0.715148,3930,2177220,0,0,1.514405,2595.078574
0.715148,3940,2182760,0,0,1.515527,2599.755302
0.715148,3950,2188300,0,0,1.515874,2605.757627
0.715148,3960,2193840,0,0,1.517077,2610.282443
0.715148,3970,2199380,0,0,1.520428,2611.106153
0.715148,3980,2204920,0,0,1.522181,2614.669697
0.715148,3990,2210460,0,0,1.523463,2619.033886
0.715148,4000,2216000,0,0,1.523926,2624.798922
0.715148,4010,2221540,0,0,1.524838,2629.787608
0.715148,4020,2227080,0,0,1.624532,2474.558487
0.715148,4030,2232620,0,0,1.624545,2480.694082
0.715148,4040,2238160,0,0,1.625213,2485.828517
0.715148,4050,2243700,0,0,1.633817,2478.858218
0.715148,4060,2249240,0,0,1.633962,2484.75731
0.715148,4070,2254780,0,0,1.634606,2489.897187
0.715148,4080,2260320,0,0,1.634619,2495.994483
0.715148,4090,2265860,0,0,1.635256,2501.137357
0.715148,4100,2271400,0,0,1.635268,2507.233599
0.715148,4110,2276940,0,0,1.635611,2512.822337
0.715148,4120,2282480,0,0,1.636249,2517.954808
0.715148,4130,2288020,0,0,1.636658,2523.435391
0.715148,4140,2293560,0,0,1.637629,2528.045069
0.715148,4150,2299100,0,0,1.637766,2533.940073
0.715148,4160,2304640,0,0,1.644085,2530.282175
0.715148,4170,2310180,0,0,1.648225,2529.993916
0.715148,4180,2315720,0,0,1.648417,2535.766505
0.715148,4190,2321260,0,0,1.649092,2540.792576
0.715148,4200,2326800,0,0,1.649105,2546.8359
0.715148,4210,2332340,0,0,1.649118,2552.879495
0.715148,4220,2337880,0,0,1.655205,2549.532387
0.715148,4230,2343420,0,0,1.655422,2555.238998
0.715148,4240,2348960,0,0,1.656093,2560.243242
0.715148,4250,2354500,0,0,1.656105,2566.261971
0.715148,4260,2360040,0,0,1.656118,2572.280238
0.715148,4270,2365580,0,0,1.656752,2577.332604
0.715148,4280,2371120,0,0,1.661223,2576.415188
0.715148,4290,2376660,0,0,1.740721,2464.495376
0.715148,4300,2382200,0,0,1.740735,2470.221512
0.715148,4310,2387740,0,0,1.740748,2475.947562
0.715148,4320,2393280,0,0,1.741391,2480.775846
0.715148,4330,2398820,0,0,1.741539,2486.306309
0.715148,4340,2404360,0,0,1.742569,2490.57608
0.715148,4350,2409900,0,0,1.742876,2495.875242
0.715148,4360,2415440,0,0,1.743535,2500.666347
0.715148,4370,2420980,0,0,1.744205,2505.440129
0.715148,4380,2426520,0,0,1.746544,2507.80919
0.715148,4390,2432060,0,0,1.747565,2512.066745
